Virksomhet
B. hansen renovasjon as - behandling av farlig avfallB. hansen renovasjon as - behandling av farlig avfall
Bakkland transport  pukkverkBakkland transport  pukkverk
Balhald steinbruddBalhald steinbrudd
Bama industri avd mossBama industri avd moss
Banak flystasjonBanak flystasjon
Bandak nct  asBandak nct  as
Bangsund riflebanerBangsund riflebaner
Bardufoss flystasjonBardufoss flystasjon
Basf as sandefjordBasf as sandefjord
Bassebo steinbruddBassebo steinbrudd
Be varmeBe varme
BekkestutunnelenBekkestutunnelen
Bensvik fiskekjøp ansBensvik fiskekjøp ans
Benteler automotive raufossBenteler automotive raufoss
"Beredskapskjel, lillehammer sykehusBeredskapskjel, lillehammer sykehus"
Berendsen tekstil service as avd. bergenBerendsen tekstil service as avd. bergen
Berendsen tekstilserviceBerendsen tekstilservice
Berg lipidtech asBerg lipidtech as
Bergan steinbruddBergan steinbrudd
Bergen eloksal asBergen eloksal as
Bergen engines foundryBergen engines foundry
Bergen lufthavn fleslandBergen lufthavn flesland
Bergene holm as avd. nidarå - åmliBergene holm as avd. nidarå - åmli
Bergene holm as avdeling haslestadBergene holm as avdeling haslestad
"Bergene holm as, avd. larvikBergene holm as, avd. larvik"
Bergmesteren raudsand as - sorteringsanlegg for bunnaskeBergmesteren raudsand as - sorteringsanlegg for bunnaske
Bergåstunnelen e6Bergåstunnelen e6
Berika as avd. røra - kyllingslakteriBerika as avd. røra - kyllingslakteri
Berivest asBerivest as
Berlevåg lufthavnBerlevåg lufthavn
Betker as - produksjon av ildfaste produkterBetker as - produksjon av ildfaste produkter
BeyonderBeyonder
Bia miljø asBia miljø as
Bim norway asBim norway as
Bio3 asBio3 as
Biogassanlegg grødaland - forbrenningsdelBiogassanlegg grødaland - forbrenningsdel
"Biomar fôrfabrikk, karmøyBiomar fôrfabrikk, karmøy"
"Biomar fôrfabrikk, myreBiomar fôrfabrikk, myre"
Biomega norway  asBiomega norway  as
Biosirk as avd. balsfjordBiosirk as avd. balsfjord
Biosirk norge as avd grødalandBiosirk norge as avd grødaland
Biosirk norge as avd. mosvikBiosirk norge as avd. mosvik
"Biosirk norge as, avd. trehørningen, hamarBiosirk norge as, avd. trehørningen, hamar"
Biproduktanlegget på kverva - laks - nutrimar asBiproduktanlegget på kverva - laks - nutrimar as
Bir ressurs asBir ressurs as
Bjarkøy pukkverk yitBjarkøy pukkverk yit
Bjelland - knuseverk skurve nordBjelland - knuseverk skurve nord
Bjørkedalen riflebanerBjørkedalen riflebaner
Bjørndalen pukkverk asBjørndalen pukkverk as
BjørnegårdtunnelenBjørnegårdtunnelen
"Bjørnøya, tankanlegg - helikopterBjørnøya, tankanlegg - helikopter"
Blikshavn riflebanerBlikshavn riflebaner
BlindevannverketBlindevannverket
Blomjoten masseuttak-harstad maskinBlomjoten masseuttak-harstad maskin
Bodø hovedflystasjonBodø hovedflystasjon
Bodø hovedflystasjon - brannøvingsplassBodø hovedflystasjon - brannøvingsplass
Bodø lufthavnBodø lufthavn
Boliden oddaBoliden odda
Bonden grønthandelBonden grønthandel
Bonnåtunellen - drens-/vaskevannBonnåtunellen - drens-/vaskevann
Borregaard avd. spesialcelluloseBorregaard avd. spesialcellulose
Borstrandi riflebanerBorstrandi riflebaner
Botnhågen avfallsforbrenningsanleggBotnhågen avfallsforbrenningsanlegg
Bottum grustakBottum grustak
Brandbu vannbehandlingsanleggBrandbu vannbehandlingsanlegg
"Brann- og redningsskolen, fjelldalBrann- og redningsskolen, fjelldal"
Brannøving avinor kirkenes lufthavnBrannøving avinor kirkenes lufthavn
Brannøvingsanlegg for lillehammer region brannvesenBrannøvingsanlegg for lillehammer region brannvesen
Brannøvingsområde årødalen - molde brann og redningBrannøvingsområde årødalen - molde brann og redning
Brannøvingsplass lakselv lufthavn banakBrannøvingsplass lakselv lufthavn banak
Brannøvingsplass lenvik kommuneBrannøvingsplass lenvik kommune
Brattås skrotsteindeponiBrattås skrotsteindeponi
Brattåsen rifle- og leirduebanerBrattåsen rifle- og leirduebaner
Brekke stenbruddBrekke stenbrudd
Bremanger quarry as - dyrstadBremanger quarry as - dyrstad
Brunstad asBrunstad as
Brødr. sunde avd. ålesundBrødr. sunde avd. ålesund
Brønnøy kalk a.sBrønnøy kalk a.s
Brønnøysund lufthavn brønnøyBrønnøysund lufthavn brønnøy
Brøtaskogen massemottak og deponiBrøtaskogen massemottak og deponi
Budal riflebanerBudal riflebaner
Building material corporation asBuilding material corporation as
Båtsfjord lufthavnBåtsfjord lufthavn
Calanus as - holmen industriområdeCalanus as - holmen industriområde
Carboline norge asCarboline norge as
Carbon centric  asCarbon centric  as
Ccb as basedrift ågotnesCcb as basedrift ågotnes
Cermaq norway as avd. slakteri steigenCermaq norway as avd. slakteri steigen
"Chemring nobel as, high energy materialsChemring nobel as, high energy materials"
"Chitinor as, tromsøChitinor as, tromsø"
"Circle k norge as, gangsåstank tankanleggCircle k norge as, gangsåstank tankanlegg"
Co2 technology centre mongstadCo2 technology centre mongstad
Coca-cola  robsrudCoca-cola  robsrud
Cruda as - pyrolyseanleggCruda as - pyrolyseanlegg
"Curida as, elverum (farmasøytisk prod.)Curida as, elverum (farmasøytisk prod.)"
Dalen sandtakDalen sandtak
Dalir kjøtt asDalir kjøtt as
Dalpro as - slakting av villsau og hjortDalpro as - slakting av villsau og hjort
Daltveit vassbehandlingsanleggDaltveit vassbehandlingsanlegg
Damsgårdtunell tunnelvaskevann lyngbøvannetDamsgårdtunell tunnelvaskevann lyngbøvannet
Damsgårdtunnelen tunnelvaksevann puddefjordenDamsgårdtunnelen tunnelvaksevann puddefjorden
"Dc halsvik aggregates as, sløvågDc halsvik aggregates as, sløvåg"
Dc seljestokken aggregates asDc seljestokken aggregates as
Den stolte hane - foredlingsanlegg i kviamarkaDen stolte hane - foredlingsanlegg i kviamarka
DenofaDenofa
Diplom-is avd produksjon gjelleråsenDiplom-is avd produksjon gjelleråsen
Disponering av fyllitt - anleggsprosjekter i kommunenDisponering av fyllitt - anleggsprosjekter i kommunen
"Distrikt 37, skarfvaggi - feltslakteri for reinDistrikt 37, skarfvaggi - feltslakteri for rein"
Dokka fasteners asDokka fasteners as
Doneheia/jåbekk industriområdeDoneheia/jåbekk industriområde
Dot duozink  asDot duozink  as
Drammen krematoriumDrammen krematorium
"Drens- og vaskevann, bytunnelene på tromsøyaDrens- og vaskevann, bytunnelene på tromsøya"
Drevjamoen skyte- og øvingsfeltDrevjamoen skyte- og øvingsfelt
Drifsfase e134 røldal-seljestad tunnelDrifsfase e134 røldal-seljestad tunnel
Driftsutslipp ivar hovedvannledning vestDriftsutslipp ivar hovedvannledning vest
Dullum slakteri asDullum slakteri as
Dupont nutrition norge as (tidligere fmc)Dupont nutrition norge as (tidligere fmc)
Dynea lillestrømDynea lillestrøm
E 18 bambletunnelen - utslipp fra renseanlegg for vaskevann driftsfaseE 18 bambletunnelen - utslipp fra renseanlegg for vaskevann driftsfase
E. c. dahls bryggeriE. c. dahls bryggeri
E10 hålogalandsvegen tunneler (n fylke)E10 hålogalandsvegen tunneler (n fylke)
E10 hålogalandsvegen tunneler (tf fylke)E10 hålogalandsvegen tunneler (tf fylke)
E16 bagnskleivtunnelen (klossbøle)E16 bagnskleivtunnelen (klossbøle)
E16 bjørum -skaret- driftsfase- utslipp av overvann fra veiE16 bjørum -skaret- driftsfase- utslipp av overvann fra vei
E16 hugaviktunnelen (kvamskleiva)E16 hugaviktunnelen (kvamskleiva)
E16 kvamskleivaE16 kvamskleiva
"E18 fosskolltunnelen, statens vegvesenE18 fosskolltunnelen, statens vegvesen"
E18 lysaker til ramstadsletta - tunnelvaskevann og overvann fra vegE18 lysaker til ramstadsletta - tunnelvaskevann og overvann fra veg
E6 kulstaddalen - åkvikE6 kulstaddalen - åkvik
"E6 skarpsnotunnelen, vaskevannE6 skarpsnotunnelen, vaskevann"
Egersund graniteEgersund granite
Eide brandasund as avd. brandasundEide brandasund as avd. brandasund
Eidsiva bioenergi as - kongsvinger vingersjøvegenEidsiva bioenergi as - kongsvinger vingersjøvegen
"Eidsiva bioenergi as, avd. ingeberg trehørningen energisentralEidsiva bioenergi as, avd. ingeberg trehørningen energisentral"
"Eidsiva bioenergi as, avdeling gjøvikEidsiva bioenergi as, avdeling gjøvik"
"Eidsiva bioenergi avd. børstad, hamarEidsiva bioenergi avd. børstad, hamar"
Eidsiva bioenergi avd. elverumEidsiva bioenergi avd. elverum
Eikefjord vassverkEikefjord vassverk
Eikås motorsenterEikås motorsenter
Einar øgrey industrisand asEinar øgrey industrisand as
Ekeberg oljelagerEkeberg oljelager
Ekeberg tankEkeberg tank
Ekornes as avd tynesEkornes as avd tynes
Elkem bjølvefossenElkem bjølvefossen
Elkem bremangerElkem bremanger
Elkem carbonElkem carbon
Elkem ranaElkem rana
Elkem saltenElkem salten
Elkem tanaElkem tana
Elkem testvirksomhet asElkem testvirksomhet as
Elkem testvirksomhet as avd. kristiansandElkem testvirksomhet as avd. kristiansand
Elkem thamshavnElkem thamshavn
Ellingsen seafood as lakseslakteriEllingsen seafood as lakseslakteri
Elvedalen motor- og aktivitetssenterElvedalen motor- og aktivitetssenter
Engebø rutile and garnetEngebø rutile and garnet
"Epax  norway as, avd ålesundEpax  norway as, avd ålesund"
Eramet norway as porsgrunnEramet norway as porsgrunn
Eramet norway kvinesdalEramet norway kvinesdal
Eramet norway saudaEramet norway sauda
Espeland vannbehandlingsanleggEspeland vannbehandlingsanlegg
Esso norge slagentangenEsso norge slagentangen
"Esso norge, høvringen tankanleggEsso norge, høvringen tankanlegg"
Etnedal riflebaneEtnedal riflebane
Evanger pølsefabrikkEvanger pølsefabrikk
Everzinc norwayEverzinc norway
Ewos as avd. florøEwos as avd. florø
"Ewos fôrfabrikk, balsfjordEwos fôrfabrikk, balsfjord"
"Ewos fôrfabrikk, meløyEwos fôrfabrikk, meløy"
Fagervika tankanleggFagervika tankanlegg
Falken riflebanerFalken riflebaner
Fatland jærenFatland jæren
Fatland osloFatland oslo
Fatland ølen - slakteriFatland ølen - slakteri
Felleskjøpet agri fabrikk nedre ila trondheimFelleskjøpet agri fabrikk nedre ila trondheim
Felleskjøpet kambo 1500 fabrikkFelleskjøpet kambo 1500 fabrikk
Felleskjøpet modumFelleskjøpet modum
Felleskjøpet rogaland agderFelleskjøpet rogaland agder
Felleskjøpet stange 4500 fabrikkFelleskjøpet stange 4500 fabrikk
Felleskjøpet steinkjerFelleskjøpet steinkjer
Ferroglobe mangan norgeFerroglobe mangan norge
Ferrozink trondheim asFerrozink trondheim as
FestningstunnelenFestningstunnelen
Fiberprodukt a.sFiberprodukt a.s
Fibo as (fibo trespo lyngdal  fmva)Fibo as (fibo trespo lyngdal  fmva)
Figgjo - keramiske produkter produksjonFiggjo - keramiske produkter produksjon
Filefjelltunnelen v/tyinkrysset (vaskevann)Filefjelltunnelen v/tyinkrysset (vaskevann)
Findus avd. larvikFindus avd. larvik
Findus avd. tønsbergFindus avd. tønsberg
FinnfjordFinnfjord
Finnvika brannøvingsanleggFinnvika brannøvingsanlegg
Finny sirevaag asFinny sirevaag as
Firmenich bjørge biomarin asFirmenich bjørge biomarin as
First seafood asFirst seafood as
Fiskå mølle flisa asFiskå mølle flisa as
"Fiskå mølle, strandFiskå mølle, strand"
Fiven norge avd. eydehavnFiven norge avd. eydehavn
Fjell skytebaneFjell skytebane
Fjellhaller risavikaFjellhaller risavika
FjordkjøkkenFjordkjøkken
"Fjordlaks as, klippfiskproduksjonFjordlaks as, klippfiskproduksjon"
"Flakstadvåg laks as, lakseslakteriFlakstadvåg laks as, lakseslakteri"
Florø brannvesen - brannøvingsfeltFlorø brannvesen - brannøvingsfelt
Fluorsid noralf asFluorsid noralf as
Follebu bruk asFollebu bruk as
Follum forbrenningsanleggFollum forbrenningsanlegg
"Forestia  as, braskereidfossForestia  as, braskereidfoss"
Forevatnet vasseverkForevatnet vasseverk
ForforedlingForforedling
Forset grus asForset grus as
Forsvarets operative hovedkontorForsvarets operative hovedkontor
Forsvarsbygg  heggeliaForsvarsbygg  heggelia
"Forsvarsbygg, moss lufthavn ryggeForsvarsbygg, moss lufthavn rygge"
Fortuna oils asFortuna oils as
Forus energigjenvinning - linje 1 og 2Forus energigjenvinning - linje 1 og 2
Fosen gjenvinning - skipsopphugging - returmetaller - fritidsbåterFosen gjenvinning - skipsopphugging - returmetaller - fritidsbåter
Fosnavaag pelagic asFosnavaag pelagic as
Fossberga pukkverkFossberga pukkverk
Framo flatøy asFramo flatøy as
Framo fusa asFramo fusa as
Framo holsnøy asFramo holsnøy as
Framruste steintipp knuseverkFramruste steintipp knuseverk
Franskleiv skiskytteranleggFranskleiv skiskytteranlegg
Franzefoss gjenvinning husøyaFranzefoss gjenvinning husøya
"Franzefoss gjenvinning, eideFranzefoss gjenvinning, eide"
Franzefoss minerals as - miljøkalkFranzefoss minerals as - miljøkalk
Franzefoss pukk avd. bondkallFranzefoss pukk avd. bondkall
"Franzefoss pukk avd. lyngås,  lierFranzefoss pukk avd. lyngås,  lier"
"Franzefoss pukk, avd. steinskogenFranzefoss pukk, avd. steinskogen"
Fredø elg- og riflebaneFredø elg- og riflebane
Frekhaug stål a.sFrekhaug stål a.s
Frevar - forbrenningsanleggetFrevar - forbrenningsanlegget
Freyr - pilotFreyr - pilot
Frigård skytebaneFrigård skytebane
Frustøl as - pukkverkFrustøl as - pukkverk
Fuglehaugen motorsenterFuglehaugen motorsenter
Furnes jernstøperi avd. furnesFurnes jernstøperi avd. furnes
Furumoen tunnelFurumoen tunnel
Furuseth avd. slakteriFuruseth avd. slakteri
Fyresdal riflebanerFyresdal riflebaner
Førde vassverkFørde vassverk
G3 gausdal treindustrier gausdal treforedlingG3 gausdal treindustrier gausdal treforedling
Gassco as kollsnes prosessanleggGassco as kollsnes prosessanlegg
Gassco as kårstø prosessanleggGassco as kårstø prosessanlegg
Gc rieber vivomega asGc rieber vivomega as
Ge healthcareGe healthcare
Ge healthcare lindesnesGe healthcare lindesnes
Gjerberg gårdGjerberg gård
GjøcoGjøco
Gjølme pukkverkGjølme pukkverk
Gjøvik krematoriumGjøvik krematorium
Glasopor asGlasopor as
Glasopor avd fredrikstadGlasopor avd fredrikstad
Glasskartunnelen renset tunnelvaskevannGlasskartunnelen renset tunnelvaskevann
Glava askimGlava askim
Glava stjørdalGlava stjørdal
Glencore nikkelverkGlencore nikkelverk
Global florø gunnhildvågenGlobal florø gunnhildvågen
"Glomma papp, sarpsborgGlomma papp, sarpsborg"
Granberg garveri asGranberg garveri as
GranfosstunnelenGranfosstunnelen
Grans bryggeri asGrans bryggeri as
Gratangen riflebaneGratangen riflebane
Green yard feda - opphugging av skip og riggGreen yard feda - opphugging av skip og rigg
Green yard kleven asGreen yard kleven as
Grieg seafood rogaland avd. stjernelaks.Grieg seafood rogaland avd. stjernelaks.
Grilstad as avd brumunddalGrilstad as avd brumunddal
Grilstad trondheimGrilstad trondheim
"Grinda asfaltverk, stasjonærtGrinda asfaltverk, stasjonært"
Grinna riflebaneGrinna riflebane
GruvelageretGruvelageret
Grønseth maskin asGrønseth maskin as
Gudbrandsdalens uldvarefabrik a.sGudbrandsdalens uldvarefabrik a.s
Gundersen galvano - sarpsborgGundersen galvano - sarpsborg
Gunnar klo as avd. støGunnar klo as avd. stø
GyltviktunnelenGyltviktunnelen
Gyproc a.sGyproc a.s
Gåsbu elg- og lerduebaneGåsbu elg- og lerduebane
H. a. hansen a.sH. a. hansen a.s
Hadeland glassverk a.sHadeland glassverk a.s
Hafsil asHafsil as
Hafslund celsio as avd klemetsrudveienHafslund celsio as avd klemetsrudveien
Hallingdal renovasjon iks - kleivi hovedanleggHallingdal renovasjon iks - kleivi hovedanlegg
"Hamar pukk og grus as, bjørgedalen vang grustakHamar pukk og grus as, bjørgedalen vang grustak"
"Hamar pukk og grus, brynsåsen steinindustriHamar pukk og grus, brynsåsen steinindustri"
Hammerfall dolomittHammerfall dolomitt
Hammerfest lngHammerfest lng
Hammerfest lufthavnHammerfest lufthavn
Hammerstrand mølleHammerstrand mølle
"Hansa borg bryggerier, kokstadHansa borg bryggerier, kokstad"
"Hansa borg bryggerier, sarpsborgHansa borg bryggerier, sarpsborg"
Haraldrud energigjenvinningsanleggHaraldrud energigjenvinningsanlegg
Haraldrud varmesentral (hafslund celsio as)Haraldrud varmesentral (hafslund celsio as)
Hardanger fiskeforedling asHardanger fiskeforedling as
"Harsco metals norway as, ranaHarsco metals norway as, rana"
Harstad/narvik lufthavn evenesHarstad/narvik lufthavn evenes
Haslum krematoriumHaslum krematorium
Hasvik lufthavnHasvik lufthavn
Haugafossen kraftverk - bygging - hardanger energi asHaugafossen kraftverk - bygging - hardanger energi as
Haugaland interkommunale miljøverk -  behandling av farlig avfallHaugaland interkommunale miljøverk -  behandling av farlig avfall
Haugaland motorsenterHaugaland motorsenter
Haugesund lufthavnHaugesund lufthavn
Hauskje vassverkHauskje vassverk
Hav line - slakteskipet norwegian gannetHav line - slakteskipet norwegian gannet
Hbc berkåk as -Hbc berkåk as -
Heidelberg materials betong norge as avd hortenHeidelberg materials betong norge as avd horten
Heidelberg materials betong norge as avd larvikHeidelberg materials betong norge as avd larvik
Heidelberg materials betong norge as avd tønsbergHeidelberg materials betong norge as avd tønsberg
Heidelberg materials brevik sementfabrikkHeidelberg materials brevik sementfabrikk
Heidelberg materials kjøpsvik sementfabrikkHeidelberg materials kjøpsvik sementfabrikk
Heidelberg materials miljø as avd. aurskogHeidelberg materials miljø as avd. aurskog
Heidelberg materials miljø as avd. brevikHeidelberg materials miljø as avd. brevik
Heidelberg materials tilslag norge avd røynebergHeidelberg materials tilslag norge avd røyneberg
Heistadmoen skyte- og øvingsfeltHeistadmoen skyte- og øvingsfelt
Helikopterlandingsplass store bognøy haakonsvernHelikopterlandingsplass store bognøy haakonsvern
Hellefoss paperHellefoss paper
Hellik teigen avd. hokksund - fragmenteringHellik teigen avd. hokksund - fragmentering
Hellik teigen avd. lierstrandaHellik teigen avd. lierstranda
Hello pukkverk - frøseth asHello pukkverk - frøseth as
Hembre grustakHembre grustak
Hengsvann skyte- og øvingsfeltHengsvann skyte- og øvingsfelt
Hennig-olsen is asHennig-olsen is as
Hermod teigen avd foss-eikelandHermod teigen avd foss-eikeland
Hermod teigen avd harestadvikaHermod teigen avd harestadvika
Hermod teigen avd tauHermod teigen avd tau
Hermod teigen avd. egersund - fragmenteringsanleggHermod teigen avd. egersund - fragmenteringsanlegg
Hermod teigen risavikaHermod teigen risavika
Herøya industriparkHerøya industripark
HestnestunnelenHestnestunnelen
Hias vannbehandlingsanleggHias vannbehandlingsanlegg
Hillesvåg ullvarefabrikk a.sHillesvåg ullvarefabrikk a.s
Himberg pukkverkHimberg pukkverk
Hindalsrøra vannbehandlingHindalsrøra vannbehandling
HinnøybilenHinnøybilen
Hitra pukkverkHitra pukkverk
Hitramat  asHitramat  as
Hjelset vannbehandlingsanleggHjelset vannbehandlingsanlegg
Hodalen riflebaneHodalen riflebane
Hoff avd jærenHoff avd jæren
Hoff avd sundnes brenneriHoff avd sundnes brenneri
Hoff sa avd gjøvikHoff sa avd gjøvik
"Hoff sa, avd. brumunddalHoff sa, avd. brumunddal"
Hoff varmesentralHoff varmesentral
Hofseth aqua as avd 35 ålesund oljefabrikkHofseth aqua as avd 35 ålesund oljefabrikk
Hofseth biocare as avd midsundHofseth biocare as avd midsund
"Hokksund pukkverk, hønerudåsen/ stensetHokksund pukkverk, hønerudåsen/ stenset"
Hole kalkverkHole kalkverk
Holmøy lakseslakteriHolmøy lakseslakteri
Homlagarden as - fjørfeslakteriHomlagarden as - fjørfeslakteri
Honningsvåg lufthavnHonningsvåg lufthavn
Hopen fisk asHopen fisk as
"Hopen, tankanlegg - helikopterHopen, tankanlegg - helikopter"
Horns slakteri a.sHorns slakteri a.s
Hotran steinbruddHotran steinbrudd
Hovden fiskeindustri asHovden fiskeindustri as
Hp halden pharma (tidl fresenius kabi norge)Hp halden pharma (tidl fresenius kabi norge)
Hunton fiber as - trefiberplatefabrikken gjøvikHunton fiber as - trefiberplatefabrikken gjøvik
Hunton fiber as isolasjonsfabrikken skjerven skogHunton fiber as isolasjonsfabrikken skjerven skog
HuntonitHuntonit
"Hvebergsmoen potetpakkeri a.s, grinderHvebergsmoen potetpakkeri a.s, grinder"
Hydro aluminium as høyanger recycling casthouseHydro aluminium as høyanger recycling casthouse
Hydro aluminium husnesHydro aluminium husnes
Hydro aluminium høyangerHydro aluminium høyanger
Hydro aluminium karmøyHydro aluminium karmøy
Hydro aluminium sunndalHydro aluminium sunndal
Hydro aluminium årdal karbonHydro aluminium årdal karbon
Hydro aluminium årdal metallverkHydro aluminium årdal metallverk
Hydro extrusion norway  magnor  før sapaHydro extrusion norway  magnor  før sapa
Hydro vigelands brugHydro vigelands brug
Høilo pukkverkHøilo pukkverk
Hønefoss asfaltfabrikk - kilemoenHønefoss asfaltfabrikk - kilemoen
Høysand grustakHøysand grustak
Håkestad steinbruddHåkestad steinbrudd
Haakonsvern tørrdokkHaakonsvern tørrdokk
Håland høydebassengHåland høydebasseng
Hålogaland vaskeriHålogaland vaskeri
Håsken gokartHåsken gokart
Ibestad skipshugging og sanering asIbestad skipshugging og sanering as
If sikkerhetssenterIf sikkerhetssenter
Illhøllitunnelen drens/vaskevannIllhøllitunnelen drens/vaskevann
Inderøy slakteriInderøy slakteri
"Indus kjemisk teknisk fabrikk mottak, lagring og beha av farlig avfallIndus kjemisk teknisk fabrikk mottak, lagring og beha av farlig avfall"
Ineos bambleIneos bamble
Ineos rafnesIneos rafnes
"Ineos tyssedal as, avdeling titanslaggIneos tyssedal as, avdeling titanslagg"
Innovamar - slakteri og fiskeforedling - kvervaInnovamar - slakteri og fiskeforedling - kverva
Innovanor lakseslakteri salmarInnovanor lakseslakteri salmar
Inntre kjeldstad - selbu - selbu byggtre asInntre kjeldstad - selbu - selbu byggtre as
Innvik sellgren avd. innvikInnvik sellgren avd. innvik
Inovyn norge avd. pvc-fabrikk porsgrunnInovyn norge avd. pvc-fabrikk porsgrunn
Inovyn norge avd. rafnesInovyn norge avd. rafnes
Inrigo asInrigo as
Isola as - eidangerIsola as - eidanger
J e ekornes  - forbrenningsanlegg på ikornnesJ e ekornes  - forbrenningsanlegg på ikornnes
J e ekornes as avd aureJ e ekornes as avd aure
J. m. nilsen fisk as avd nordmelaJ. m. nilsen fisk as avd nordmela
J. m. nilsen fisk as avdeling andenesJ. m. nilsen fisk as avdeling andenes
Jackon oltedalJackon oltedal
Jahrestranda næringspark asJahrestranda næringspark as
Jangaard export as avd sjøanlegget andenesJangaard export as avd sjøanlegget andenes
Jangaard export as avd. framnesJangaard export as avd. framnes
Jangaard export as avd. stamsundJangaard export as avd. stamsund
Jankos mekaniske - syrebeising og forbehandlingJankos mekaniske - syrebeising og forbehandling
Janusfabrikken asJanusfabrikken as
Jens eide as - slakteriJens eide as - slakteri
John greger asJohn greger as
Johs lundal & sønnerJohs lundal & sønner
Jonahola riflebanerJonahola riflebaner
Jotun gimleJotun gimle
Jotun vindalJotun vindal
Jule industriområdeJule industriområde
Juptjenn vannverk asJuptjenn vannverk as
Jøsnøya - lakseslakteri - lerøy midt asJøsnøya - lakseslakteri - lerøy midt as
Jøtul asJøtul as
Kappa bioscience asKappa bioscience as
Karmsund proteinKarmsund protein
Kd norway as tidl marine ingredients asKd norway as tidl marine ingredients as
Kemira chemicals asKemira chemicals as
King oscar as avd. svolværKing oscar as avd. svolvær
Kings bay as - tanklagringKings bay as - tanklagring
Kings broilerKings broiler
Kirkebygden og ytre enebakk vannverkKirkebygden og ytre enebakk vannverk
Kirkelandet kapell - kristiansund krematoriumKirkelandet kapell - kristiansund krematorium
"Kirkenes lufthavn, høybuktmoenKirkenes lufthavn, høybuktmoen"
Kirkenes processing - lakseslakteriKirkenes processing - lakseslakteri
Kjeller flystasjonKjeller flystasjon
Kjellmi as - vaskehall for tankbilerKjellmi as - vaskehall for tankbiler
Kjennskogen steinbruddKjennskogen steinbrudd
Klinga riflebaneKlinga riflebane
Klodeborg pukkverkKlodeborg pukkverk
Klåstad steinbruddKlåstad steinbrudd
Kna raceway motorsenterKna raceway motorsenter
Knapphus pukkverkKnapphus pukkverk
Knaskerøtter asKnaskerøtter as
Kobbesgate 14 - utslipp av overvann fra oljeutskiller til havnebassengKobbesgate 14 - utslipp av overvann fra oljeutskiller til havnebasseng
Kongsberg automotive avd. hvittingfossKongsberg automotive avd. hvittingfoss
