Row Labels,Count of Column3
Molgas Norway AS,1
Olav E. Fiskerstrand,1
Mongstad Raffineri,1
Mbp Bio Production,1
Morrow Industrialization Center AS,1
Orkla Confectionery & Snacks Norge AS,1
Mosjøen Lufthavn Kjærstad,1
Orkla Home & Personal Care,1
Moss Pukkverk,1
Osterøy Riflebaner,1
Motorsportsenter I Leirdalen,1
Påslippspunkt For Renset Vaskevann Fra Ekeberg- Og Svartdalstunnelen,1
Marienborg,1
Pelagia Akva Ren Djupvik,1
Mowi Feed- Forfabrikk,1
Meheia Riflebaner,1
Mowi Jøsnøya,1
Pelagia Måløy,1
Mowi Nutrition Hjelmeland,1
Pelagia Træna,1
Mt Slakt,1
Pharmaq,1
Multi Marine AS,1
Polynt Composites Norway AS,1
Myrbostad Bygg Og Anlegg AS,1
Prostneset Strandkantdeponi,1
Marine Supply AS,1
Puma Energy Norway AS,1
Myre Saltfish Group AS,1
Quartz Corp,1
Myrespiten Riflebane,1
Røros Lufthavn,1
Mysen Bioenergisentral,1
Rørvik Fisk AS,1
Nærøy Og Vikna Fellesvannverk,1
Røyrvik Riflebaner,1
Nærøysund Kraftbetong,1
Råzink,1
Nøtterø Riflebaner,1
Ramsjøen Riflebaner,1
Naf Motorsport Kvam,1
Rasmussen K A AS,1
Naf Trafikksenter AS,1
Re Motorsport,1
Namdalseid Riflebaner,1
Regionfelt Østlandet,1
Nammo Raufoss AS,1
Re-met,1
Namsos Lufthavn,1
Renseanlegg Søgnetunnelen,1
Napp Sjømat,1
Returkraft AS,1
Ncc Industry AS,1
Ringerikes Kornsilo,1
Ncc Norge,1
Ringveg Vest Liavatnet,1
Martin E Birknes Eftf,1
Rismålheitunnelen,1
Nel Hydrogen Electrolyser AS,1
Nygårdstunell Tunnelvaskevann Og Anleggsvann Store Lungegårdsvann,1
Nergård Sild AS,1
Nyrstar Høyanger,1
Nmk Melhus Bollandsmoen,1
O. Kavli AS,1
Nmk Surnadal Og Rindal,1
Odda Krematorium,1
Noah Solutions Langøya,1
Oddaprodukt AS,1
Nofima AS,1
Olavsvern Drivstoffanlegg,1
Maskin Og Anlegg,1
Oljeholdig Avløpsvann,1
Norbetong AS,1
Onesubsea Processing AS,1
Norcem AS,1
Opsal Betong AS,1
Nord Fosen Pukkverk AS,1
Orkla Food Norge AS,1
Nord Vei & Asfalt Asfaltverk Evenes,1
Orkla Health Ocean AS,1
Nordby,1
Ose Water AS,1
Nordbytunellen,1
Oslo Universitetssykehus,1
Nordfjord Kjøtt,1
Ottem Resirk AS,1
Nordic Electrofuel AS,1
Overhalla Betongbygg,1
Nordic Kingfish Fredrikstad AS,1
Pcs Pulverlakk AS,1
Nordic Paper,1
Pelagia,1
Nordic Pharma Inc AS,1
Pelagia Bodø Sildoljefabrikk,1
Nordic Roads AS,1
Pelagia Egersund Sildoljefabrikk,1
Nordlaks Produkter,1
Pelagia Karmsund Fiskemel,1
Nordox,1
Pelagia Lovund,1
Nordre Skage Riflebaner,1
Pelagia Måløy Sildoljefabrikk,1
Norfrakalk,1
Pelagia Selje,1
Norges Automobil-forbund,1
Pelagia Tromsø,1
Norgips Norge,1
Pharma Marine AS,1
Norkalsitt,1
Planktonic AS,1
Normilk AS,1
Polarfeed Fiskefôrfabrikk,1
Norpri Ex Prima,1
Prima Protein,1
Norrek Dypfrys AS,1
Profil-lakkering AS,1
Norscrap Karmøy Returmetallanlegg,1
Protan AS,1
Norscrap West Fragmenteringsanlegg,1
Pukkverk,1
Norse Metal Elverum AS,1
Pundslett Landbase,1
