nace_code,nace_description,name,org_number,employees,location,municipality,postal_place,registration_date,organizational_form,website
24.54,Casting of other non-ferrous metals,NORSE METAL ELVERUM AS,987034653,20,ELVERUM,ELVERUM,ELVERUM,2004-08-17,Aksjeselskap,www.norsemetal.com
24.54,Casting of other non-ferrous metals,MANODA AS,981673506,10,HARSTAD,HARSTAD,HARSTAD,2000-03-13,Aksjeselskap,www.manoda.no
24.54,Casting of other non-ferrous metals,Olsen Nauen Klokkestøperi AS,839227302,7,BARKÅKER,TØNSBERG,BARKÅKER,1995-02-19,Aksjeselskap,www.klokkestoperi.no
22.22,Manufacture of plastic packing goods,BEWI PACKAGING NORWAY AS,928878090,207,HAMARVIK,FRØYA,HAMARVIK,1995-02-19,Aksjeselskap,bewisynbra.com
22.22,Manufacture of plastic packing goods,POLY HAR AS,868108932,150,VARTDAL,ØRSTA,VARTDAL,1995-02-19,Aksjeselskap,
22.22,Manufacture of plastic packing goods,BEWI INSULATION NORGE AS,913019334,147,GRESSVIK,FREDRIKSTAD,GRESSVIK,1995-02-19,Aksjeselskap,www.bewi.com
22.22,Manufacture of plastic packing goods,BERRY NORWAY CONTAINERS AS,931424769,138,MOSS,MOSS,MOSS,2023-07-01,Aksjeselskap,
22.22,Manufacture of plastic packing goods,SCHUTZ NORDIC AS,980638278,86,KONGSVINGER,KONGSVINGER,KONGSVINGER,1999-03-31,Aksjeselskap,www.schuetz.net
38.32,Recovery of sorted materials,NORSK GJENVINNING AS,937270062,737,LYSAKER,BÆRUM,LYSAKER,1995-03-12,Aksjeselskap,www.norskgjenvinning.no
38.32,Recovery of sorted materials,LINDUM AS,979618840,159,DRAMMEN,DRAMMEN,DRAMMEN,2001-08-29,Aksjeselskap,www.lindum.no
38.32,Recovery of sorted materials,INNHERRED RENOVASJON IKS,971217391,111,LEVANGER,LEVANGER,LEVANGER,1995-02-20,Interkommunalt selskap,innherredrenovasjon.no
38.32,Recovery of sorted materials,PERPETUUM AS,984464045,95,TROMSØ,TROMSØ,TROMSØ,2002-05-06,Aksjeselskap,
38.32,Recovery of sorted materials,BIR RESSURS AS,985825408,52,BERGEN,BERGEN,BERGEN,2003-06-30,Aksjeselskap,
16.21,Manufacture of veneer sheets and wood-based panels,FORESTIA AS,981393961,215,BRASKEREIDFOSS,VÅLER,BRASKEREIDFOSS,1999-12-22,Aksjeselskap,
16.21,Manufacture of veneer sheets and wood-based panels,HUNTONIT AS,914801958,184,VENNESLA,VENNESLA,VENNESLA,1995-02-19,Aksjeselskap,
16.21,Manufacture of veneer sheets and wood-based panels,HUNTON FIBER AS,964014256,167,GJØVIK,GJØVIK,GJØVIK,1995-02-20,Aksjeselskap,
16.21,Manufacture of veneer sheets and wood-based panels,ALLOC AS,937655894,159,LYNGDAL,LYNGDAL,LYNGDAL,1995-03-12,Aksjeselskap,
16.21,Manufacture of veneer sheets and wood-based panels,FIBO AS,964193991,110,LYNGDAL,LYNGDAL,LYNGDAL,1995-02-20,Aksjeselskap,www.fibo.no
35.11,Production of electricity,SVALBARD ENERGI AS,927978806,30,LONGYEARBYEN,SVALBARD,LONGYEARBYEN,2021-10-22,Aksjeselskap,
35.11,Production of electricity,KOGEN AS,931693980,,RONG,ØYGARDEN,RONG,2023-07-06,Aksjeselskap,
35.11,Production of electricity,DALANE KJERNEKRAFT AS,935153832,,EGERSUND,EIGERSUND,EGERSUND,2025-03-04,Aksjeselskap,
35.11,Production of electricity,FENSFJORDEN KJERNEKRAFT AS,936207537,,BERGEN,BERGEN,BERGEN,2025-09-19,Aksjeselskap,
35.11,Production of electricity,GRENOR KAMERUN AS,998995191,,TRONDHEIM,TRONDHEIM,TRONDHEIM,2012-10-11,Aksjeselskap,
35.3,Steam and air conditioning supply,HAFSLUND CELSIO AS,977296919,256,OSLO,OSLO,OSLO,1997-03-06,Aksjeselskap,www.celsio.no
35.3,Steam and air conditioning supply,LUNERA ENERGI AS,980396002,107,TRONDHEIM,TRONDHEIM,TRONDHEIM,1999-01-21,Aksjeselskap,
35.3,Steam and air conditioning supply,HALLINGDAL RENOVASJON IKS,951608629,82,ÅL,ÅL,ÅL,1995-02-19,Interkommunalt selskap,www.hallingdalrenovasjon.no
35.3,Steam and air conditioning supply,ØSTFOLD ENERGI AS,879904412,70,GRÅLUM,SARPSBORG,GRÅLUM,1998-07-08,Aksjeselskap,
35.3,Steam and air conditioning supply,EIDSIVA BIOENERGI AS,980258165,64,GJØVIK,GJØVIK,GJØVIK,1998-11-03,Aksjeselskap,www.eidsivabioenergi.no
35.21,Manufacture of gas,BIR RESSURS AS,985825408,52,BERGEN,BERGEN,BERGEN,2003-06-30,Aksjeselskap,
35.21,Manufacture of gas,DEN MAGISKE FABRIKKEN AS,926389998,21,SEM,TØNSBERG,SEM,2021-01-14,Aksjeselskap,
35.21,Manufacture of gas,ST1 BIOKRAFT AS,894625902,16,SKOGN,LEVANGER,SKOGN,2009-10-13,Aksjeselskap,www.biokraft.no
35.21,Manufacture of gas,ECOPRO AS,984853998,13,VERDAL,VERDAL,VERDAL,2002-10-02,Aksjeselskap,www.ecopro.no
35.21,Manufacture of gas,VIREO AS,927168669,13,DIMMELSVIK,KVINNHERAD,DIMMELSVIK,2021-05-29,Aksjeselskap,
2.15,Manufacture of fertilizers and nitrogen compounds,YARA NORGE AS,984015666,794,OSLO,OSLO,OSLO,2001-12-13,Aksjeselskap,www.yara.com
2.15,Manufacture of fertilizers and nitrogen compounds,YARA INTERNATIONAL ASA,986228608,530,OSLO,OSLO,OSLO,2003-11-12,Allmennaksjeselskap,www.yara.com
2.15,Manufacture of fertilizers and nitrogen compounds,SENJA AVFALL MILJØ AS,913230566,37,FINNSNES,SENJA,FINNSNES,2014-02-24,Aksjeselskap,www.senja-avfall.no
2.15,Manufacture of fertilizers and nitrogen compounds,NELSON GARDEN PRODUCTIONS AS,914154995,30,STEINSHOLT,LARVIK,STEINSHOLT,1995-03-12,Aksjeselskap,www.nordicgarden.net
2.15,Manufacture of fertilizers and nitrogen compounds,GRØNN GJØDSEL AS,995194252,11,RAKKESTAD,RAKKESTAD,RAKKESTAD,2010-02-24,Aksjeselskap,www.gronngjodsel.no
1.11,"Growing of cereals (except rice), leguminous crops and oil seeds",CRUX STIFTELSEN ROSTAD,876771802,88,INDERØY,INDERØY,INDERØY,1996-10-01,Stiftelse,www.stiftelsencrux.no
1.11,"Growing of cereals (except rice), leguminous crops and oil seeds",GRUDE GARTNERI AS,988977977,67,KLEPP STASJON,KLEPP,KLEPP STASJON,2005-11-30,Aksjeselskap,
1.11,"Growing of cereals (except rice), leguminous crops and oil seeds",STIFTELSEN VOLL GÅRD,979660707,48,TRONDHEIM,TRONDHEIM,TRONDHEIM,2002-08-24,Stiftelse,www.vollgard.no
1.11,"Growing of cereals (except rice), leguminous crops and oil seeds",TERJE NÆRSTAD,871218412,39,GULLAUG,LIER,GULLAUG,1995-03-12,Enkeltpersonforetak,
1.11,"Growing of cereals (except rice), leguminous crops and oil seeds",STIFTELSEN SOLLIAKOLLEKTIVET,961790840,38,SKREIA,ØSTRE TOTEN,SKREIA,1995-02-20,Stiftelse,www.sollia.no
